    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 6104,       9211025,         9204933,          11782,     52481,       58978,        334
 6105,       9215449,         9209356,          12576,     52623,       58989,        339
 6106,       9220643,         9214549,          16393,     52541,       59000,        551
 6107,       9226262,         9220167,          14500,     52593,       59011,        342
 6108,       9229909,         9223813,          12163,     52640,       59022,        350
 6109,       9234846,         9228749,          11846,     52693,       59033,        340
 6110,       9237249,         9231151,          12252,     52623,       59044,        340
 6111,       9241117,         9235018,          11879,     52628,       59055,        364
 6112,       9245193,         9239093,          12168,     52684,       59066,        341
 6113,       9249852,         9243751,          16761,     52699,       59077,        556
 6114,       9250175,         9244073,          12628,     52488,       59088,        343
 6115,       9251430,         9245327,          15446,     52542,       59099,        552
 6116,       9255772,         9249668,          11901,     52503,       59110,        339
 6117,       9260671,         9254566,          13682,     52549,       59121,        586
 6118,       9264316,         9258210,          12580,     52726,       59132,        342
 6119,       9266282,         9260175,          12628,     52760,       59143,        346
 6120,       9269660,         9263552,          15236,     52837,       59154,        358
 6121,       9274574,         9268465,          12086,     52839,       59165,        339
 6122,       9275008,         9268898,          13959,     53007,       59176,        346
 6123,       9280613,         9274502,          11911,     52948,       59187,        356
 6124,       9286234,         9280122,          13794,     52898,       59198,        532
 6125,       9291003,         9284890,          12094,     52792,       59209,        343
 6126,       9293423,         9287309,          12727,     52783,       59220,        345
 6127,       9295327,         9289212,          13695,     52776,       59231,        340
 6128,       9301106,         9294990,          11946,     52762,       59242,        340
 6129,       9304478,         9298361,          12658,     52877,       59253,        350
 6130,       9310495,         9304377,          12006,     52808,       59264,        341
 6131,       9312259,         9306140,          11907,     52809,       59275,        344
 6132,       9317578,         9311458,          12212,     53026,       59286,        341
 6133,       9322076,         9315955,          11932,     53045,       59297,        338
 6134,       9323476,         9317354,          11925,     52760,       59308,        337
 6135,       9324376,         9318253,          12254,     52746,       59319,        341
 6136,       9327921,         9321797,          12019,     52791,       59330,        338
 6137,       9329774,         9323649,          12301,     52799,       59341,        363
 6138,       9331373,         9325247,          12195,     52886,       59352,        342
 6139,       9336772,         9330645,          11989,     52858,       59363,        340
 6140,       9339364,         9333236,          12419,     52826,       59374,        343
 6141,       9344320,         9338191,          12157,     52821,       59385,        344
 6142,       9350414,         9344284,          12558,     53019,       59396,        397
 6143,       9355707,         9349576,          14000,     53028,       59407,        557
 6144,       9360260,         9354128,          16328,     53019,       59418,        343
 6145,       9361635,         9355502,          12761,     53108,       59429,        345
 6146,       9366670,         9360536,          12197,     52933,       59440,        555
 6147,       9369803,         9363668,          17884,     53014,       59451,        344
 6148,       9375661,         9369525,          12285,     52967,       59462,        347
 6149,       9380460,         9374323,          12085,     52974,       59473,        344
 6150,       9383020,         9376882,          14829,     52973,       59484,        342
 6151,       9386777,         9380638,          17390,     52931,       59495,        467
 6152,       9390355,         9384215,          16961,     53005,       59506,        342
 6153,       9391885,         9385744,          12048,     52979,       59517,        343
 6154,       9397876,         9391734,          13384,     52912,       59528,        361
 6155,       9397916,         9391773,          12199,     52994,       59539,        352
 6156,       9401898,         9395754,          12733,     53049,       59550,        351
 6157,       9402603,         9396458,          12752,     53110,       59561,        342
 6158,       9404093,         9397947,          12033,     53340,       59572,        344
 6159,       9409550,         9403403,          12389,     53333,       59583,        348
 6160,       9415529,         9409381,          12109,     53327,       59594,        342
 6161,       9418075,         9411926,          12685,     53349,       59605,        347
 6162,       9420320,         9414170,          12389,     53193,       59616,        344
 6163,       9423051,         9416900,          12095,     53158,       59627,        355
 6164,       9428586,         9422434,          13349,     53196,       59638,        347
 6165,       9433184,         9427031,          12162,     53255,       59649,        370
 6166,       9438855,         9432701,          12087,     53053,       59660,        347
 6167,       9438935,         9432780,          12992,     53084,       59671,        346
 6168,       9440948,         9434792,          12125,     53329,       59682,        347
 6169,       9442495,         9436338,          12645,     53204,       59693,        345
 6170,       9443094,         9436936,          12259,     53247,       59704,        341
 6171,       9449102,         9442943,          12132,     53385,       59715,        343
 6172,       9451844,         9445684,          13418,     53348,       59726,        346
 6173,       9457959,         9451798,          12165,     53364,       59737,        344
 6174,       9458263,         9452101,          12526,     53398,       59748,        371
 6175,       9459396,         9453233,          12303,     53426,       59759,        348
 6176,       9465536,         9459372,          12592,     53325,       59770,        349
 6177,       9469793,         9463628,          13005,     53460,       59781,        447
 6178,       9471562,         9465396,          12623,     53220,       59792,        413
 6179,       9477237,         9471070,          12487,     53393,       59803,        353
 6180,       9483216,         9477048,          12373,     53536,       59814,        346
 6181,       9485617,         9479448,          12130,     53592,       59825,        347
 6182,       9490750,         9484580,          14089,     53490,       59836,        350
 6183,       9494460,         9488289,          12374,     53453,       59847,        353
 6184,       9496776,         9490604,          12507,     53491,       59858,        361
 6185,       9500130,         9493957,          16109,     53364,       59869,        519
 6186,       9502470,         9496296,          12974,     53536,       59880,        540
 6187,       9508225,         9502050,          15064,     53493,       59891,        509
 6188,       9510648,         9504472,          13311,     53471,       59902,        584
 6189,       9515446,         9509269,          14347,     53473,       59913,        362
 6190,       9518609,         9512431,          12196,     53351,       59924,        342
